Original,Ground Truth,Prediction
"NYAPRS Note: some very timely and personal comments from the Godfather of a psychiatric rehabilitation, our beloved Bill Anthony I meant to send this last year...and just found it now.","NYAPRS Note: Some very timely and personal comments from the Godfather of psychiatric rehabilitation, our beloved Bill Anthony.I meant to send this last year...and just found it now.","NYAPRS Note: some very timely and personal comments from the Godfather of a psychiatric rehabilitation, our beloved Bill Anthony. I meant to send this last year...and just found it now."
"Big Jaw Crusher, Wholesale Various High Quality Big Jaw Crusher Products from Global Big Jaw Crusher Suppliers and Big Jaw Crusher Factory Importer Big Jaw Crusher for sale, Bentonite Jaw Crusher Bauxite Jaw Crusher PE600 900 Processing Capacity 120t / h Big Rock Stone Jaw Crusher Primary.","Big Jaw Crusher, Wholesale Various High Quality Big Jaw Crusher Products from Global Big Jaw Crusher Suppliers and Big Jaw Crusher Factory,Importer . Big Jaw Crusher For Sale, Bentonite Jaw Crusher, Bauxite Jaw Crusher . PE600 900 Processing Capacity 120t/h Big Rock Stone Jaw Crusher Primary.","Big Jaw Crusher, Wholesale Various High Quality Big Jaw Crusher Products from Global Big Jaw Crusher Suppliers and Big Jaw Crusher Factory Importer Big Jaw Crusher for sale, Bentonite Jaw Crusher Bauxite Jaw Crusher PE600 900"
"On Dec 18th at 9 a.m. , police were notified that a window had been mashed at business where was the 4200 block of Mountain Square.","Just before 9 a.m. on Dec. 18, police were notified that a window had been smashed at a business in the 4200 block of Mountain Square.","On Dec 18th at 9 a.m., police were notified that a window had been mashed at a business in the 4200 block of Mountain Square."
Avoid frayed sealing by the product With our hot knife fully automated machine.,Avoid fraying by sealing the product with our fully automated hot knife machine.,Avoid frayed sealing by the product with our hot knife fully automated machine.
FAQ #1605 : :" is pilin-implementation planned planned by overlaps ship.",FAQ #1605: Is plugin-implementation planned?.,FAQ #1605 : "Is pilin-implementation planned planned by overlaps ship."
Download the ChitramTV .apk file in https://chitram-tv.de/ctv.apk and transfer the.apk file to as per a USB drive.,Download the ChitramTV .apk file from https://chitram-tv.de/ctv.apk and transfer the .apk file to a USB drive.,Download the ChitramTV .apk file from https://chitram-tv.de/ctv.apk and transfer the.apk file to a USB drive.
Rates: $135-190 depending on volume (and retain).,Rates: $135-190 depending on volume and retainer.,Rates: $135-190 depending on volume (and retention).
When early results suggested more tally than expected Nawaz Sharif said that PML-N workers had been kidnapped on the eve of the vote and that the party would investigate whether the contest had been rigged  a hint at military destabilisation.,"When early results suggested a closer tally than expected, Nawaz Sharif said that PML-N workers had been kidnapped on the eve of the vote and that the party would investigate whether the contest had been rigged  a hint at military destabilisation.","When early results suggested more tally than expected, Nawaz Sharif said that PML-N workers had been kidnapped on the eve of the vote and that the party would investigate whether the contest had been"
"From 22 July to 7 October, major engineering at Derby will affect services to and from the North East, including the 13.46 Mondays-Fridays train from Southampton Central which continues to Edinburgh (full details are not yet advertised, but it appears that services will be divrected to bypass Derby station).","From 22 July to 7 October, major engineering work at Derby will affect services to and from the North East, including the 13.46 Mondays-Fridays train from Southampton Central which continues to Edinburgh. Full details are not yet advertised, but it appears that services will be diverted to bypass Derby station.","From 22 July to 7 October, major engineering at Derby will affect services to and from the North East, including the 13.46 Mondays-Fridays train from Southampton Central which continues to Edinburgh (full details are not yet advertised, but it"
"So, This helps cow so much.","So, this helps the cow quite a lot.","So, this helps cow so much."
